Unnamed: 0,Year,City,Age Range,Number in Range
0,2018,"Albany, NY",18 to 24 Years,21091
1,2018,"Albany, NY",75 Years & Over,5906
2,2018,"Albany, NY",45 to 54 Years,10514
3,2018,"Albany, NY",Under 5 Years,5491
4,2018,"Albany, NY",65 to 74 Years,6670
5,2018,"Albany, NY",35 to 44 Years,10400
6,2018,"Albany, NY",55 to 59 Years,5270
7,2018,"Albany, NY",5 to 17 Years,11803
8,2018,"Albany, NY",62 to 64 Years,2768
9,2018,"Albany, NY",25 to 34 Years,15951
10,2018,"Albany, NY",60 & 61 Years,2025
11,2017,"Albany, NY",5 to 17 Years,11584
12,2017,"Albany, NY",75 Years & Over,5788
13,2017,"Albany, NY",60 & 61 Years,2036
14,2017,"Albany, NY",25 to 34 Years,16607
15,2017,"Albany, NY",62 to 64 Years,2686
16,2017,"Albany, NY",18 to 24 Years,21560
17,2017,"Albany, NY",55 to 59 Years,5401
18,2017,"Albany, NY",35 to 44 Years,10337
19,2017,"Albany, NY",65 to 74 Years,6634
20,2017,"Albany, NY",Under 5 Years,5442
21,2017,"Albany, NY",45 to 54 Years,10423
22,2016,"Albany, NY",5 to 17 Years,11073
23,2016,"Albany, NY",18 to 24 Years,22069
24,2016,"Albany, NY",60 & 61 Years,2048
25,2016,"Albany, NY",75 Years & Over,5791
26,2016,"Albany, NY",45 to 54 Years,10974
27,2016,"Albany, NY",35 to 44 Years,10462
28,2016,"Albany, NY",62 to 64 Years,2621
29,2016,"Albany, NY",65 to 74 Years,6294
30,2016,"Albany, NY",55 to 59 Years,5520
31,2016,"Albany, NY",Under 5 Years,5368
32,2016,"Albany, NY",25 to 34 Years,16205
33,2015,"Albany, NY",25 to 34 Years,16221
34,2015,"Albany, NY",18 to 24 Years,21741
35,2015,"Albany, NY",55 to 59 Years,5631
36,2015,"Albany, NY",75 Years & Over,5779
37,2015,"Albany, NY",35 to 44 Years,10389
38,2015,"Albany, NY",60 & 61 Years,1915
39,2015,"Albany, NY",Under 5 Years,5334
40,2015,"Albany, NY",5 to 17 Years,11486
41,2015,"Albany, NY",45 to 54 Years,10787
42,2015,"Albany, NY",62 to 64 Years,2785
43,2015,"Albany, NY",65 to 74 Years,6400
66,2018,"Albany, NY",18 to 24 Years,21091
67,2018,"Albany, NY",75 Years & Over,5906
68,2018,"Albany, NY",45 to 54 Years,10514
69,2018,"Albany, NY",Under 5 Years,5491
70,2018,"Albany, NY",65 to 74 Years,6670
71,2018,"Albany, NY",35 to 44 Years,10400
72,2018,"Albany, NY",55 to 59 Years,5270
73,2018,"Albany, NY",5 to 17 Years,11803
74,2018,"Albany, NY",62 to 64 Years,2768
75,2018,"Albany, NY",25 to 34 Years,15951
76,2018,"Albany, NY",60 & 61 Years,2025
77,2017,"Albany, NY",5 to 17 Years,11584
78,2017,"Albany, NY",75 Years & Over,5788
79,2017,"Albany, NY",60 & 61 Years,2036
80,2017,"Albany, NY",25 to 34 Years,16607
81,2017,"Albany, NY",62 to 64 Years,2686
82,2017,"Albany, NY",18 to 24 Years,21560
83,2017,"Albany, NY",55 to 59 Years,5401
84,2017,"Albany, NY",35 to 44 Years,10337
85,2017,"Albany, NY",65 to 74 Years,6634
86,2017,"Albany, NY",Under 5 Years,5442
87,2017,"Albany, NY",45 to 54 Years,10423
88,2016,"Albany, NY",5 to 17 Years,11073
89,2016,"Albany, NY",18 to 24 Years,22069
90,2016,"Albany, NY",60 & 61 Years,2048
91,2016,"Albany, NY",75 Years & Over,5791
92,2016,"Albany, NY",45 to 54 Years,10974
93,2016,"Albany, NY",35 to 44 Years,10462
94,2016,"Albany, NY",62 to 64 Years,2621
95,2016,"Albany, NY",65 to 74 Years,6294
96,2016,"Albany, NY",55 to 59 Years,5520
97,2016,"Albany, NY",Under 5 Years,5368
98,2016,"Albany, NY",25 to 34 Years,16205
99,2015,"Albany, NY",25 to 34 Years,16221
100,2015,"Albany, NY",18 to 24 Years,21741
101,2015,"Albany, NY",55 to 59 Years,5631
102,2015,"Albany, NY",75 Years & Over,5779
103,2015,"Albany, NY",35 to 44 Years,10389
104,2015,"Albany, NY",60 & 61 Years,1915
105,2015,"Albany, NY",Under 5 Years,5334
106,2015,"Albany, NY",5 to 17 Years,11486
107,2015,"Albany, NY",45 to 54 Years,10787
108,2015,"Albany, NY",62 to 64 Years,2785
109,2015,"Albany, NY",65 to 74 Years,6400
132,2018,"Albany, NY",18 to 24 Years,21091
133,2018,"Albany, NY",75 Years & Over,5906
134,2018,"Albany, NY",45 to 54 Years,10514
135,2018,"Albany, NY",Under 5 Years,5491
136,2018,"Albany, NY",65 to 74 Years,6670
137,2018,"Albany, NY",35 to 44 Years,10400
138,2018,"Albany, NY",55 to 59 Years,5270
139,2018,"Albany, NY",5 to 17 Years,11803
140,2018,"Albany, NY",62 to 64 Years,2768
141,2018,"Albany, NY",25 to 34 Years,15951
142,2018,"Albany, NY",60 & 61 Years,2025
143,2017,"Albany, NY",5 to 17 Years,11584
144,2017,"Albany, NY",75 Years & Over,5788
145,2017,"Albany, NY",60 & 61 Years,2036
146,2017,"Albany, NY",25 to 34 Years,16607
147,2017,"Albany, NY",62 to 64 Years,2686
148,2017,"Albany, NY",18 to 24 Years,21560
149,2017,"Albany, NY",55 to 59 Years,5401
150,2017,"Albany, NY",35 to 44 Years,10337
151,2017,"Albany, NY",65 to 74 Years,6634
152,2017,"Albany, NY",Under 5 Years,5442
153,2017,"Albany, NY",45 to 54 Years,10423
154,2016,"Albany, NY",5 to 17 Years,11073
155,2016,"Albany, NY",18 to 24 Years,22069
156,2016,"Albany, NY",60 & 61 Years,2048
157,2016,"Albany, NY",75 Years & Over,5791
158,2016,"Albany, NY",45 to 54 Years,10974
159,2016,"Albany, NY",35 to 44 Years,10462
160,2016,"Albany, NY",62 to 64 Years,2621
161,2016,"Albany, NY",65 to 74 Years,6294
162,2016,"Albany, NY",55 to 59 Years,5520
163,2016,"Albany, NY",Under 5 Years,5368
164,2016,"Albany, NY",25 to 34 Years,16205
165,2015,"Albany, NY",25 to 34 Years,16221
166,2015,"Albany, NY",18 to 24 Years,21741
167,2015,"Albany, NY",55 to 59 Years,5631
168,2015,"Albany, NY",75 Years & Over,5779
169,2015,"Albany, NY",35 to 44 Years,10389
170,2015,"Albany, NY",60 & 61 Years,1915
171,2015,"Albany, NY",Under 5 Years,5334
172,2015,"Albany, NY",5 to 17 Years,11486
173,2015,"Albany, NY",45 to 54 Years,10787
174,2015,"Albany, NY",62 to 64 Years,2785
175,2015,"Albany, NY",65 to 74 Years,6400
198,2018,"Albany, NY",18 to 24 Years,21091
199,2018,"Albany, NY",75 Years & Over,5906
200,2018,"Albany, NY",45 to 54 Years,10514
201,2018,"Albany, NY",Under 5 Years,5491
202,2018,"Albany, NY",65 to 74 Years,6670
203,2018,"Albany, NY",35 to 44 Years,10400
204,2018,"Albany, NY",55 to 59 Years,5270
205,2018,"Albany, NY",5 to 17 Years,11803
206,2018,"Albany, NY",62 to 64 Years,2768
207,2018,"Albany, NY",25 to 34 Years,15951
208,2018,"Albany, NY",60 & 61 Years,2025
209,2017,"Albany, NY",5 to 17 Years,11584
210,2017,"Albany, NY",75 Years & Over,5788
211,2017,"Albany, NY",60 & 61 Years,2036
212,2017,"Albany, NY",25 to 34 Years,16607
213,2017,"Albany, NY",62 to 64 Years,2686
214,2017,"Albany, NY",18 to 24 Years,21560
215,2017,"Albany, NY",55 to 59 Years,5401
216,2017,"Albany, NY",35 to 44 Years,10337
217,2017,"Albany, NY",65 to 74 Years,6634
218,2017,"Albany, NY",Under 5 Years,5442
219,2017,"Albany, NY",45 to 54 Years,10423
220,2016,"Albany, NY",5 to 17 Years,11073
221,2016,"Albany, NY",18 to 24 Years,22069
222,2016,"Albany, NY",60 & 61 Years,2048
223,2016,"Albany, NY",75 Years & Over,5791
224,2016,"Albany, NY",45 to 54 Years,10974
225,2016,"Albany, NY",35 to 44 Years,10462
226,2016,"Albany, NY",62 to 64 Years,2621
227,2016,"Albany, NY",65 to 74 Years,6294
228,2016,"Albany, NY",55 to 59 Years,5520
229,2016,"Albany, NY",Under 5 Years,5368
230,2016,"Albany, NY",25 to 34 Years,16205
231,2015,"Albany, NY",25 to 34 Years,16221
232,2015,"Albany, NY",18 to 24 Years,21741
233,2015,"Albany, NY",55 to 59 Years,5631
234,2015,"Albany, NY",75 Years & Over,5779
235,2015,"Albany, NY",35 to 44 Years,10389
236,2015,"Albany, NY",60 & 61 Years,1915
237,2015,"Albany, NY",Under 5 Years,5334
238,2015,"Albany, NY",5 to 17 Years,11486
239,2015,"Albany, NY",45 to 54 Years,10787
240,2015,"Albany, NY",62 to 64 Years,2785
241,2015,"Albany, NY",65 to 74 Years,6400
264,2018,"Albany, NY",18 to 24 Years,21091
265,2018,"Albany, NY",75 Years & Over,5906
266,2018,"Albany, NY",45 to 54 Years,10514
267,2018,"Albany, NY",Under 5 Years,5491
268,2018,"Albany, NY",65 to 74 Years,6670
